Date,Name,Price,Change_24h,Change_7d,MarketCap,Volume_24h
2025-08-28 06:39:01,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:40:02,Bitcoin,"$113,132.09",0.03%,1.69%,$2.25T,"$2,251,663,746,987"
2025-08-28 06:40:02,Ethereum,"$4,600.91",0.05%,0.36%,$555.65B,"$555,654,541,102"
2025-08-28 06:40:02,XRP,$3.01,0.13%,0.60%,$179.4B,"$179,403,102,071"
2025-08-28 06:40:02,Tether,$1.00,0.00%,0.00%,$167.34B,"$167,335,505,526"
2025-08-28 06:40:02,BNB,$877.49,0.41%,2.19%,$122.15B,"$122,149,935,118"
2025-08-28 06:40:02,Solana,$215.32,1.18%,5.69%,$116.42B,"$116,420,018,869"
2025-08-28 06:40:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,292,895,862"
2025-08-28 06:40:02,Dogecoin,$0.2242,0.34%,2.29%,$33.79B,"$33,793,448,176"
2025-08-28 06:40:02,TRON,$0.3480,0.27%,0.56%,$32.94B,"$32,944,959,520"
2025-08-28 06:40:02,Cardano,$0.8695,0.30%,0.96%,$31.07B,"$31,069,884,602"
2025-08-28 06:41:02,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,251,840,581,979"
2025-08-28 06:41:02,Ethereum,"$4,599.22",0.12%,0.04%,$556.06B,"$556,062,299,258"
2025-08-28 06:41:02,XRP,$3.01,0.09%,0.66%,$179.48B,"$179,481,521,348"
2025-08-28 06:41:02,Tether,$1.00,0.00%,0.01%,$167.32B,"$167,320,806,530"
2025-08-28 06:41:02,BNB,$877.75,0.47%,2.28%,$122.13B,"$122,126,258,299"
2025-08-28 06:41:02,Solana,$215.93,1.32%,6.07%,$116.75B,"$116,750,063,059"
2025-08-28 06:41:02,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,291,921,877"
2025-08-28 06:41:02,Dogecoin,$0.2243,0.25%,2.43%,$33.81B,"$33,807,001,536"
2025-08-28 06:41:02,TRON,$0.3480,0.28%,0.51%,$32.95B,"$32,947,305,184"
2025-08-28 06:41:02,Cardano,$0.8696,0.18%,1.06%,$31.07B,"$31,074,198,098"
2025-08-28 06:42:01,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,251,840,581,979"
2025-08-28 06:42:01,Ethereum,"$4,599.22",0.12%,0.04%,$556.06B,"$556,062,299,258"
2025-08-28 06:42:01,XRP,$3.01,0.09%,0.66%,$179.48B,"$179,481,521,348"
2025-08-28 06:42:01,Tether,$1.00,0.00%,0.01%,$167.32B,"$167,320,806,530"
2025-08-28 06:42:01,BNB,$877.75,0.47%,2.28%,$122.13B,"$122,126,258,299"
2025-08-28 06:42:01,Solana,$215.93,1.32%,6.07%,$116.75B,"$116,750,063,059"
2025-08-28 06:42:01,USDC,$0.9998,0.00%,0.01%,$69.29B,"$69,291,921,877"
2025-08-28 06:42:01,Dogecoin,$0.2243,0.25%,2.43%,$33.81B,"$33,807,001,536"
2025-08-28 06:42:01,TRON,$0.3480,0.28%,0.51%,$32.95B,"$32,947,305,184"
2025-08-28 06:42:01,Cardano,$0.8696,0.18%,1.06%,$31.07B,"$31,074,198,098"
2025-08-28 06:43:02,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,249,970,915,836"
2025-08-28 06:43:02,Ethereum,"$4,599.22",0.12%,0.04%,$554.67B,"$554,672,962,733"
2025-08-28 06:43:02,XRP,$3.01,0.02%,0.60%,$179.24B,"$179,244,448,837"
2025-08-28 06:43:02,Tether,$1.00,0.02%,0.02%,$167.39B,"$167,386,471,102"
2025-08-28 06:43:02,BNB,$878.13,0.51%,2.38%,$122.17B,"$122,172,601,928"
2025-08-28 06:43:02,Solana,$215.21,0.91%,5.81%,$116.36B,"$116,359,091,795"
2025-08-28 06:43:02,USDC,$1.00,0.01%,0.01%,$69.3B,"$69,304,759,984"
2025-08-28 06:43:02,Dogecoin,$0.2243,0.18%,2.55%,$33.82B,"$33,817,615,882"
2025-08-28 06:43:02,TRON,$0.3477,0.34%,0.54%,$32.92B,"$32,920,918,505"
2025-08-28 06:43:02,Cardano,$0.8697,0.13%,1.15%,$31.08B,"$31,076,810,364"
2025-08-28 06:44:01,Bitcoin,"$113,049.15",0.05%,1.58%,$2.25T,"$2,249,970,915,836"
2025-08-28 06:44:01,Ethereum,"$4,599.22",0.12%,0.04%,$554.67B,"$554,672,962,733"
2025-08-28 06:44:01,XRP,$3.01,0.02%,0.60%,$179.24B,"$179,244,448,837"
2025-08-28 06:44:01,Tether,$1.00,0.02%,0.02%,$167.39B,"$167,386,471,102"
2025-08-28 06:44:01,BNB,$878.13,0.51%,2.38%,$122.17B,"$122,172,601,928"
2025-08-28 06:44:01,Solana,$215.21,0.91%,5.81%,$116.36B,"$116,359,091,795"
2025-08-28 06:44:01,USDC,$1.00,0.01%,0.01%,$69.3B,"$69,304,759,984"
2025-08-28 06:44:01,Dogecoin,$0.2243,0.18%,2.55%,$33.82B,"$33,817,615,882"
2025-08-28 06:44:01,TRON,$0.3477,0.34%,0.54%,$32.92B,"$32,920,918,505"
2025-08-28 06:44:01,Cardano,$0.8697,0.13%,1.15%,$31.08B,"$31,076,810,364"
2025-08-28 17:03:01,Bitcoin,"$112,820.37",0.40%,1.19%,$2.25T,"$2,246,395,409,057"
2025-08-28 17:03:01,Ethereum,"$4,574.94",0.52%,0.50%,$551.91B,"$551,910,017,517"
2025-08-28 17:03:01,XRP,$2.99,0.77%,0.18%,$178.42B,"$178,418,138,444"
2025-08-28 17:03:01,Tether,$1.00,0.02%,0.01%,$167.36B,"$167,357,700,180"
2025-08-28 17:03:01,BNB,$874.87,0.14%,1.75%,$121.88B,"$121,876,965,159"
2025-08-28 17:03:01,Solana,$212.96,0.31%,3.91%,$115.15B,"$115,146,978,938"
2025-08-28 17:03:01,USDC,$0.9998,0.01%,0.00%,$69.3B,"$69,295,597,370"
2025-08-28 17:03:01,Dogecoin,$0.2231,0.60%,1.57%,$33.63B,"$33,629,011,520"
2025-08-28 17:03:01,TRON,$0.3467,0.65%,0.86%,$32.82B,"$32,824,707,300"
2025-08-28 17:03:01,Cardano,$0.8668,0.46%,0.34%,$30.98B,"$30,975,516,006"
2025-08-28 19:00:01,Bitcoin,"$112,596.38",0.60%,0.56%,$2.26T,"$2,255,175,275,914"
2025-08-28 19:00:01,Ethereum,"$4,505.44",1.52%,3.27%,$550.49B,"$550,492,970,253"
2025-08-28 19:00:01,XRP,$3.01,0.08%,0.06%,$179.22B,"$179,217,932,104"
2025-08-28 19:00:01,Tether,$1.00,0.01%,0.00%,$167.33B,"$167,327,212,459"
2025-08-28 19:00:01,BNB,$867.71,0.74%,0.33%,$121.55B,"$121,547,954,492"
2025-08-28 19:00:01,Solana,$214.65,0.00%,2.81%,$116.06B,"$116,055,515,593"
2025-08-28 19:00:01,USDC,$0.9997,0.04%,0.04%,$69.38B,"$69,384,943,206"
2025-08-28 19:00:01,Dogecoin,$0.2243,0.09%,1.19%,$33.81B,"$33,805,896,690"
2025-08-28 19:00:01,TRON,$0.3455,0.48%,1.41%,$32.71B,"$32,712,468,651"
2025-08-28 19:00:01,Cardano,$0.8699,0.16%,0.40%,$31.09B,"$31,085,976,522"
2025-08-29 17:48:54,Bitcoin,"$108,759.01",0.88%,3.84%,$2.16T,"$2,163,261,305,835"
2025-08-29 17:48:54,Ethereum,"$4,313.70",0.80%,5.62%,$521.44B,"$521,438,331,190"
2025-08-29 17:48:54,XRP,$2.83,1.15%,5.87%,$168.44B,"$168,437,229,555"
2025-08-29 17:48:54,Tether,$1.00,0.00%,0.00%,$167.37B,"$167,370,327,612"
2025-08-29 17:48:54,BNB,$861.23,0.20%,1.35%,$119.81B,"$119,809,778,938"
2025-08-29 17:48:54,Solana,$210.00,0.40%,2.29%,$113.54B,"$113,541,310,776"
2025-08-29 17:48:54,USDC,$0.9999,0.00%,0.00%,$70.62B,"$70,616,306,563"
2025-08-29 17:48:54,Dogecoin,$0.2147,0.87%,3.98%,$32.37B,"$32,372,079,897"
2025-08-29 17:48:54,TRON,$0.3353,1.06%,3.25%,$31.74B,"$31,743,459,032"
2025-08-29 17:48:54,Cardano,$0.8279,0.67%,4.70%,$29.58B,"$29,583,329,474"
2025-08-30 09:00:02,Bitcoin,"$108,340.84",0.11%,2.55%,$2.16T,"$2,158,201,208,375"
2025-08-30 09:00:02,Ethereum,"$4,384.82",0.68%,1.96%,$530.53B,"$530,532,948,377"
2025-08-30 09:00:02,XRP,$2.83,0.58%,2.83%,$168.44B,"$168,443,207,421"
2025-08-30 09:00:02,Tether,$1.00,0.01%,0.00%,$167.62B,"$167,622,310,560"
2025-08-30 09:00:02,BNB,$859.30,0.14%,1.19%,$119.61B,"$119,613,106,201"
2025-08-30 09:00:02,Solana,$206.46,0.53%,4.32%,$111.65B,"$111,653,581,695"
2025-08-30 09:00:02,USDC,$0.9997,0.00%,0.01%,$71.56B,"$71,563,054,196"
2025-08-30 09:00:02,Dogecoin,$0.2173,0.20%,1.54%,$32.76B,"$32,756,105,685"
2025-08-30 09:00:02,TRON,$0.3397,0.12%,1.31%,$32.16B,"$32,162,285,695"
2025-08-30 09:00:02,Cardano,$0.8358,0.39%,1.17%,$29.87B,"$29,868,166,121"
2025-08-31 09:00:02,Bitcoin,"$108,728.27",0.01%,0.36%,$2.17T,"$2,165,620,902,571"
2025-08-31 09:00:02,Ethereum,"$4,459.43",0.06%,1.71%,$537.65B,"$537,647,803,820"
2025-08-31 09:00:02,XRP,$2.83,0.38%,0.12%,$168.69B,"$168,686,859,635"
2025-08-31 09:00:02,Tether,$1.00,0.01%,0.00%,$167.59B,"$167,589,278,826"
2025-08-31 09:00:02,BNB,$860.16,0.07%,0.10%,$119.71B,"$119,705,115,934"
2025-08-31 09:00:02,Solana,$204.31,0.13%,1.05%,$110.49B,"$110,492,074,456"
2025-08-31 09:00:02,USDC,$0.9998,0.01%,0.01%,$71.55B,"$71,553,512,184"
2025-08-31 09:00:02,Dogecoin,$0.2183,0.23%,0.50%,$32.92B,"$32,921,876,986"
2025-08-31 09:00:02,TRON,$0.3417,0.14%,0.59%,$32.35B,"$32,352,235,075"
2025-08-31 09:00:02,Cardano,$0.8300,0.40%,0.70%,$29.66B,"$29,660,984,983"
2025-09-01 09:00:02,Bitcoin,"$107,886.14",0.41%,0.81%,$2.15T,"$2,149,080,212,784"
2025-09-01 09:00:02,Ethereum,"$4,399.75",0.31%,1.27%,$530.94B,"$530,940,430,091"
2025-09-01 09:00:02,Tether,$1.00,0.01%,0.01%,$168.02B,"$168,024,989,944"
2025-09-01 09:00:02,XRP,$2.73,0.59%,3.62%,$162.57B,"$162,574,765,572"
2025-09-01 09:00:02,BNB,$854.03,0.36%,0.70%,$118.87B,"$118,871,878,027"
2025-09-01 09:00:02,Solana,$198.53,0.63%,2.84%,$107.39B,"$107,390,830,483"
2025-09-01 09:00:02,USDC,$1.00,0.03%,0.02%,$71.59B,"$71,591,654,014"
2025-09-01 09:00:02,TRON,$0.3376,0.12%,1.20%,$31.97B,"$31,965,229,701"
2025-09-01 09:00:02,Dogecoin,$0.2103,0.72%,3.68%,$31.71B,"$31,713,506,386"
2025-09-01 09:00:02,Cardano,$0.8044,0.45%,3.09%,$28.75B,"$28,745,802,357"
2025-09-02 09:00:02,Bitcoin,"$110,243.14",0.02%,2.16%,$2.2T,"$2,195,379,945,966"
